Unnamed: 0,text,diggCount,replyCommentTotal,createTimeISO,videoWebUrl,place,text_tokens,bigrams,sentiment,sentiment_score
27,ni hidden gem tau kot perlis changlun wallahi ckup murah speggeti gempaq mai mangkuk jenuh perabih cerita murah berbaloi fav kedai,5,0.0,06/14/2025 22:21:18,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['ni', 'hidden', 'gem', 'tau', 'kot', 'perlis', 'changlun', 'wallahi', 'ckup', 'murah', 'speggeti', 'gempaq', 'mai', 'mangkuk', 'jenuh', 'perabih', 'cerita', 'murah', 'berbaloi', 'fav', 'kedai']","[('ni', 'hidden'), ('hidden', 'gem'), ('gem', 'tau'), ('tau', 'kot'), ('kot', 'perlis'), ('perlis', 'changlun'), ('changlun', 'wallahi'), ('wallahi', 'ckup'), ('ckup', 'murah'), ('murah', 'speggeti'), ('speggeti', 'gempaq'), ('gempaq', 'mai'), ('mai', 'mangkuk'), ('mangkuk', 'jenuh'), ('jenuh', 'perabih'), ('perabih', 'cerita'), ('cerita', 'murah'), ('murah', 'berbaloi'), ('berbaloi', 'fav'), ('fav', 'kedai')]",negative,0.9859281182289124
28,hu pergi la nnti kot bila-bila pergi jenguk anak kt Jitra lajak changlun,16,1.0,06/14/2025 19:28:12,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['hu', 'pergi', 'la', 'nnti', 'kot', 'bila-bila', 'pergi', 'jenguk', 'anak', 'kt', 'Jitra', 'lajak', 'changlun']","[('hu', 'pergi'), ('pergi', 'la'), ('la', 'nnti'), ('nnti', 'kot'), ('kot', 'bila-bila'), ('bila-bila', 'pergi'), ('pergi', 'jenguk'), ('jenguk', 'anak'), ('anak', 'kt'), ('kt', 'jitra'), ('jitra', 'lajak'), ('lajak', 'changlun')]",neutral,0.8988215327262878
29,bnyak jenis tu cuma seratus ringgit murah ny,72,21.0,06/15/2025 10:57:14,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['bnyak', 'jenis', 'tu', 'cuma', 'seratus', 'ringgit', 'murah', 'ny']","[('bnyak', 'jenis'), ('jenis', 'tu'), ('tu', 'cuma'), ('cuma', 'seratus'), ('seratus', 'ringgit'), ('ringgit', 'murah'), ('murah', 'ny')]",negative,0.6651559472084045
30,murah sgt ni,1,0.0,06/30/2025 15:11:33,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['murah', 'sgt', 'ni']","[('murah', 'sgt'), ('sgt', 'ni')]",positive,0.8661159873008728
31,ni,1,0.0,07/18/2025 20:17:47,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,['ni'],[],neutral,0.8647692203521729
32,gila murah wow,18,3.0,06/14/2025 19:29:40,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['gila', 'murah', 'wow']","[('gila', 'murah'), ('murah', 'wow')]",positive,0.7373488545417786
33,fuhh murah,12,2.0,06/14/2025 19:48:06,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['fuhh', 'murah']","[('fuhh', 'murah')]",neutral,0.7614080309867859
34,ka ni,7,4.0,06/14/2025 19:57:27,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['ka', 'ni']","[('ka', 'ni')]",neutral,0.573864758014679
35,murah sgt,8,2.0,06/14/2025 19:15:57,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['murah', 'sgt']","[('murah', 'sgt')]",neutral,0.46851247549057007
36,tu kedai hijau ka,17,1.0,06/14/2025 21:23:19,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['tu', 'kedai', 'hijau', 'ka']","[('tu', 'kedai'), ('kedai', 'hijau'), ('hijau', 'ka')]",neutral,0.8921881318092346
37,mana negeri mana,5,9.0,06/15/2025 07:31:36,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['mana', 'negeri', 'mana']","[('mana', 'negeri'), ('negeri', 'mana')]",neutral,0.8782335519790649
38,lokasinya ni,6,1.0,06/17/2025 11:27:24,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['lokasinya', 'ni']","[('lokasinya', 'ni')]",neutral,0.95265793800354
39,tu la percaya murah sgt tu satgi pergi camni kut,15,8.0,06/17/2025 08:26:26,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['tu', 'la', 'percaya', 'murah', 'sgt', 'tu', 'satgi', 'pergi', 'camni', 'kut']","[('tu', 'la'), ('la', 'percaya'), ('percaya', 'murah'), ('murah', 'sgt'), ('sgt', 'tu'), ('tu', 'satgi'), ('satgi', 'pergi'), ('pergi', 'camni'), ('camni', 'kut')]",neutral,0.5286004543304443
40,terliur tengok bella makan,5,1.0,06/14/2025 19:57:34,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['terliur', 'tengok', 'bella', 'makan']","[('terliur', 'tengok'), ('tengok', 'bella'), ('bella', 'makan')]",positive,0.476051926612854
41,abis tu,0,0.0,10/15/2025 18:15:54,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['abis', 'tu']","[('abis', 'tu')]",neutral,0.8000536561012268
42,bella makan,5,3.0,06/14/2025 22:51:45,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['bella', 'makan']","[('bella', 'makan')]",neutral,0.7351005673408508
43,btl ka harga ni tkut tauke tk ad kt kdai kut dya boh harga ni murah gila kena bwa stu family mai sni,16,5.0,06/15/2025 12:07:28,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['btl', 'ka', 'harga', 'ni', 'tkut', 'tauke', 'tk', 'ad', 'kt', 'kdai', 'kut', 'dya', 'boh', 'harga', 'ni', 'murah', 'gila', 'kena', 'bwa', 'stu', 'family', 'mai', 'sni']","[('btl', 'ka'), ('ka', 'harga'), ('harga', 'ni'), ('ni', 'tkut'), ('tkut', 'tauke'), ('tauke', 'tk'), ('tk', 'ad'), ('ad', 'kt'), ('kt', 'kdai'), ('kdai', 'kut'), ('kut', 'dya'), ('dya', 'boh'), ('boh', 'harga'), ('harga', 'ni'), ('ni', 'murah'), ('murah', 'gila'), ('gila', 'kena'), ('kena', 'bwa'), ('bwa', 'stu'), ('stu', 'family'), ('family', 'mai'), ('mai', 'sni')]",neutral,0.5622364282608032
44,pergi harga plk subjek berkurang skrin short nt ni,9,4.0,06/15/2025 03:40:37,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['pergi', 'harga', 'plk', 'subjek', 'berkurang', 'skrin', 'short', 'nt', 'ni']","[('pergi', 'harga'), ('harga', 'plk'), ('plk', 'subjek'), ('subjek', 'berkurang'), ('berkurang', 'skrin'), ('skrin', 'short'), ('short', 'nt'), ('nt', 'ni')]",neutral,0.7137413620948792
45,bella klau pergi makan hrg tu kut,6,7.0,06/14/2025 21:41:34,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['bella', 'klau', 'pergi', 'makan', 'hrg', 'tu', 'kut']","[('bella', 'klau'), ('klau', 'pergi'), ('pergi', 'makan'), ('makan', 'hrg'), ('hrg', 'tu'), ('tu', 'kut')]",neutral,0.7125661373138428
46,makan noh,0,0.0,06/18/2025 15:31:13,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['makan', 'noh']","[('makan', 'noh')]",neutral,0.8967192769050598
47,besa pergi kt perlis portlepak ni sedap sgt,8,3.0,06/14/2025 21:01:12,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['besa', 'pergi', 'kt', 'perlis', 'portlepak', 'ni', 'sedap', 'sgt']","[('besa', 'pergi'), ('pergi', 'kt'), ('kt', 'perlis'), ('perlis', 'portlepak'), ('portlepak', 'ni'), ('ni', 'sedap'), ('sedap', 'sgt')]",positive,0.8305267095565796
48,tpt ni kt perlis thailand tlg bgtu,5,1.0,06/17/2025 08:44:30,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['tpt', 'ni', 'kt', 'perlis', 'thailand', 'tlg', 'bgtu']","[('tpt', 'ni'), ('ni', 'kt'), ('kt', 'perlis'), ('perlis', 'thailand'), ('thailand', 'tlg'), ('tlg', 'bgtu')]",neutral,0.5540709495544434
49,tak pergi murah belambakk sedap makan tak habis smpai kena tapaw bwak blik klu tinggai syg sgt sbb tak habis bnyk lg haha,5,1.0,06/14/2025 19:41:43,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['tak', 'pergi', 'murah', 'belambakk', 'sedap', 'makan', 'tak', 'habis', 'smpai', 'kena', 'tapaw', 'bwak', 'blik', 'klu', 'tinggai', 'syg', 'sgt', 'sbb', 'tak', 'habis', 'bnyk', 'lg', 'haha']","[('tak', 'pergi'), ('pergi', 'murah'), ('murah', 'belambakk'), ('belambakk', 'sedap'), ('sedap', 'makan'), ('makan', 'tak'), ('tak', 'habis'), ('habis', 'smpai'), ('smpai', 'kena'), ('kena', 'tapaw'), ('tapaw', 'bwak'), ('bwak', 'blik'), ('blik', 'klu'), ('klu', 'tinggai'), ('tinggai', 'syg'), ('syg', 'sgt'), ('sgt', 'sbb'), ('sbb', 'tak'), ('tak', 'habis'), ('habis', 'bnyk'), ('bnyk', 'lg'), ('lg', 'haha')]",neutral,0.5601978898048401
50,port pling bnyk potion murah ank makan western kn pergi,5,1.0,06/14/2025 19:38:16,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['port', 'pling', 'bnyk', 'potion', 'murah', 'ank', 'makan', 'western', 'kn', 'pergi']","[('port', 'pling'), ('pling', 'bnyk'), ('bnyk', 'potion'), ('potion', 'murah'), ('murah', 'ank'), ('ank', 'makan'), ('makan', 'western'), ('western', 'kn'), ('kn', 'pergi')]",neutral,0.5752351880073547
51,morah,1,0.0,06/21/2025 18:38:10,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,['morah'],[],neutral,0.8647692203521729
52,terima kasih salm kenl,1,0.0,06/24/2025 20:36:11,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['terima', 'kasih', 'salm', 'kenl']","[('terima', 'kasih'), ('kasih', 'salm'), ('salm', 'kenl')]",negative,0.5077124238014221
53,murah pergi,1,0.0,06/24/2025 20:26:04,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['murah', 'pergi']","[('murah', 'pergi')]",neutral,0.5110670924186707
54,sdapnya,1,0.0,08/03/2025 00:56:57,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,['sdapnya'],[],neutral,0.8647692203521729
55,ni pergi,1,0.0,08/03/2025 12:13:49,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['ni', 'pergi']","[('ni', 'pergi')]",neutral,0.591285228729248
56,murah jauh,1,0.0,06/20/2025 12:38:52,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['murah', 'jauh']","[('murah', 'jauh')]",neutral,0.6716955304145813
57,murah,1,0.0,08/01/2025 00:21:03,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,['murah'],[],neutral,0.8647692203521729
58,hadir,1,0.0,06/21/2025 08:09:45,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,['hadir'],[],neutral,0.8647692203521729
59,kena pergi try ni,1,0.0,08/17/2025 16:10:50,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['kena', 'pergi', 'try', 'ni']","[('kena', 'pergi'), ('pergi', 'try'), ('try', 'ni')]",negative,0.6881904602050781
60,smin tksh,1,0.0,06/18/2025 21:14:18,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['smin', 'tksh']","[('smin', 'tksh')]",neutral,0.8777353167533875
61,murahnya,2,0.0,06/18/2025 16:55:45,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,['murahnya'],[],neutral,0.8647692203521729
62,sedap,0,0.0,10/11/2025 07:46:45,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,['sedap'],[],neutral,0.8647692203521729
63,tomyam dak,1,0.0,08/13/2025 18:32:58,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,"['tomyam', 'dak']","[('tomyam', 'dak')]",neutral,0.6708245277404785
64,murah,2,0.0,06/19/2025 09:12:55,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,['murah'],[],neutral,0.8647692203521729
65,klea,2,0.0,06/28/2025 10:40:29,https://www.tiktok.com/@bellapark1310/video/7515756475470335239,Potlepak Changlun,['klea'],[],neutral,0.8647692203521729
